Frame,Joint,Angle (Degrees)
1,15 to 21,-39.80557109226519
1,16 to 20,-45.0
1,18 to 20,0.0
1,3 to 7,154.79887635452494
1,14 to 16,11.768288932020644
1,23 to 25,165.52970589993413
1,28 to 30,123.69006752597979
1,11 to 23,-65.80679101271123
1,27 to 31,-14.931417178137554
1,16 to 18,-82.8749836510982
1,25 to 27,97.37376636133021
2,15 to 21,-43.53119928561418
2,16 to 20,-47.862405226111754
2,18 to 20,-36.86989764584402
2,3 to 7,143.8418145601917
2,14 to 16,15.255118703057777
2,23 to 25,169.69515353123398
2,28 to 30,147.9946167919165
2,11 to 23,-71.8008349469546
2,27 to 31,-7.125016348901798
2,16 to 18,-99.46232220802563
2,25 to 27,99.24611274556325
3,15 to 21,-36.6070748126075
3,16 to 20,-39.28940686250036
3,18 to 20,-30.96375653207352
3,3 to 7,145.61965527615513
3,14 to 16,8.530765609948133
3,23 to 25,170.78897345918335
3,28 to 30,163.68614757373945
3,11 to 23,-80.2933475906603
3,27 to 31,-4.467159061389273
3,16 to 18,-108.43494882292202
3,25 to 27,100.66034829453534
4,15 to 21,-74.05460409907715
4,16 to 20,-77.47119229084849
4,18 to 20,-66.03751102542182
4,3 to 7,135.6585431775636
4,14 to 16,-30.650667957052864
4,23 to 25,170.78897345918335
4,28 to 30,171.57303097851934
4,11 to 23,-89.30972280213493
4,27 to 31,-4.513988458001263
4,16 to 18,180.0
4,25 to 27,102.60015982608068
5,15 to 21,-43.78112476486871
5,16 to 20,-46.2188752351313
5,18 to 20,-41.18592516570965
5,3 to 7,136.8476102659946
5,14 to 16,-26.56505117707799
5,23 to 25,168.6900675259798
5,28 to 30,172.11686068327026
5,11 to 23,-97.37376636133021
5,27 to 31,-5.839492311517449
5,16 to 18,-108.43494882292202
5,25 to 27,104.51105950016907
6,15 to 21,-45.0
6,16 to 20,-48.12213046211571
6,3 to 7,131.18592516570965
6,14 to 16,-38.23382517744694
6,23 to 25,171.0273733851036
6,28 to 30,172.40535663140858
6,11 to 23,-103.36021844476448
6,27 to 31,-9.366509957012122
6,25 to 27,106.31385242626057
7,3 to 7,132.27368900609375
7,23 to 25,176.98721249581666
7,28 to 30,174.49452214202168
7,11 to 23,-104.88626684901757
7,27 to 31,-10.684912400002716
7,25 to 27,110.09523119190482
8,3 to 7,129.6106882400266
8,23 to 25,180.0
8,28 to 30,176.67259575827342
8,11 to 23,-101.44933798850003
8,27 to 31,-8.864623388410795
8,25 to 27,113.36911316348207
9,3 to 7,120.96375653207352
9,23 to 25,180.0
9,28 to 30,176.7845160082518
9,11 to 23,-98.85795876362836
9,27 to 31,-5.65948184016248
9,25 to 27,115.05761541830302
10,3 to 7,126.32682595212023
10,23 to 25,176.09950625761812
10,28 to 30,178.68308759420674
10,11 to 23,-95.93152692491977
10,27 to 31,-2.1210963966614536
10,25 to 27,119.12405349477743
11,3 to 7,128.5301800148268
11,23 to 25,172.69424046668917
11,28 to 30,-175.8653286262636
11,11 to 23,-92.93567344642118
11,27 to 31,8.664135433108068
11,25 to 27,129.17365797044425
12,3 to 7,138.01278750418336
12,23 to 25,169.38034472384487
12,28 to 30,-168.6900675259798
12,11 to 23,-88.56790381583535
12,27 to 31,15.154068050312599
12,25 to 27,135.0
13,3 to 7,146.30993247402023
13,23 to 25,165.37912601136836
13,28 to 30,-161.565051177078
13,11 to 23,-87.27368900609373
13,27 to 31,23.039435979903534
13,25 to 27,141.48307369289725
14,3 to 7,157.52056560289688
14,23 to 25,165.96375653207352
14,28 to 30,-152.10272896905238
14,11 to 23,-84.99935540244158
14,27 to 31,31.07903963507925
14,25 to 27,143.9726266148964
15,3 to 7,158.6293777306568
15,23 to 25,90.0
15,28 to 30,-145.88552705465875
15,11 to 23,-84.21760767763595
15,27 to 31,37.03038960567864
15,25 to 27,144.3446719020997
16,3 to 7,-172.8749836510982
16,23 to 25,45.0
16,28 to 30,-130.2363583092738
16,11 to 23,-80.77011375627228
16,27 to 31,41.6335393365702
16,25 to 27,138.01278750418336
17,3 to 7,-171.2538377374448
17,23 to 25,26.56505117707799
17,28 to 30,-98.13010235415598
17,11 to 23,-74.96218409641776
17,27 to 31,48.366460663429805
17,25 to 27,117.01266534793854
18,3 to 7,180.0
18,23 to 25,0.0
18,28 to 30,-26.56505117707799
18,11 to 23,-76.53479190518829
18,27 to 31,20.556045219583467
18,25 to 27,107.71579270637694
19,3 to 7,174.0938588862295
19,23 to 25,-8.13010235415598
19,28 to 30,-12.994616791916505
19,11 to 23,-80.90972307917768
19,27 to 31,54.46232220802562
19,25 to 27,105.84308211768702
20,3 to 7,173.48019824834302
20,23 to 25,-12.994616791916505
20,28 to 30,-12.094757077012101
20,11 to 23,-81.67434966957316
20,27 to 31,147.52880770915152
20,25 to 27,96.95295746817392
21,3 to 7,-15.255118703057777
21,23 to 25,-8.426969021480673
21,28 to 30,-2.6630007660671433
21,11 to 23,-79.75591255354138
21,27 to 31,171.57303097851934
21,25 to 27,87.95459151111278
22,15 to 21,158.19859051364818
22,16 to 20,156.5953104489677
22,18 to 20,156.6951094607969
22,3 to 7,-5.710593137499642
22,14 to 16,-28.141601232261724
22,23 to 25,-6.115503566285407
22,28 to 30,-5.290081205371269
22,11 to 23,-78.69006752597979
22,27 to 31,172.8749836510982
22,16 to 18,153.434948822922
22,25 to 27,81.77327753589184
23,15 to 21,151.50436138175502
23,16 to 20,150.60394714505676
23,18 to 20,150.25511870305778
23,3 to 7,6.115503566285407
23,14 to 16,-42.20729763428672
23,23 to 25,-1.8476102659945959
23,28 to 30,-6.054191894114834
23,11 to 23,-76.2930389959202
23,27 to 31,175.6012946450045
23,16 to 18,180.0
23,25 to 27,75.79323388223963
24,15 to 21,144.07149757717718
24,16 to 20,144.30994017498605
24,18 to 20,144.07149757717718
24,3 to 7,17.81888891452278
24,14 to 16,-53.47114463301483
24,23 to 25,-3.4682292589171477
24,28 to 30,-6.428747748829855
24,11 to 23,-74.43848967467152
24,27 to 31,176.1214754971523
24,16 to 18,153.434948822922
24,25 to 27,73.36904629327859
25,15 to 21,138.10602709561644
25,16 to 20,139.26789330029084
25,18 to 20,139.87389642220478
25,3 to 7,19.536654938128386
