Frame,Joint,Angle (Degrees)
39,3 to 7,-105.25511870305779
39,23 to 25,51.34019174590991
39,28 to 30,45.0
39,11 to 23,-89.06080905426442
39,27 to 31,-73.30075576600639
39,25 to 27,86.47854662307776
40,3 to 7,-104.03624346792648
40,23 to 25,51.34019174590991
40,28 to 30,39.28940686250036
40,11 to 23,-90.0
40,27 to 31,-79.69515353123397
40,25 to 27,83.85337434035333
41,3 to 7,-102.9946167919165
41,23 to 25,63.43494882292201
41,28 to 30,25.016893478100023
41,11 to 23,-87.2297842027998
41,27 to 31,-100.30484646876603
41,25 to 27,81.99527114270714
42,3 to 7,-98.74616226255522
42,23 to 25,63.43494882292201
42,28 to 30,29.74488129694222
42,11 to 23,-88.15238973400541
42,27 to 31,-90.0
42,25 to 27,81.99527114270714
43,3 to 7,-85.91438322002513
43,23 to 25,111.80140948635182
43,28 to 30,135.0
43,11 to 23,-93.52145337692225
43,27 to 31,-17.35402463626132
43,25 to 27,84.64417495714481
44,3 to 7,-77.0053832080835
44,23 to 25,149.03624346792648
44,28 to 30,170.53767779197437
44,11 to 23,-93.41658819177135
44,27 to 31,-3.945186229037563
44,25 to 27,91.73570458892839
45,3 to 7,-81.2538377374448
45,23 to 25,123.69006752597979
45,28 to 30,135.0
45,11 to 23,-90.0
45,27 to 31,-10.7842978675626
45,25 to 27,90.85509739626673
46,3 to 7,-75.96375653207353
46,23 to 25,135.0
46,28 to 30,116.56505117707799
46,11 to 23,-89.10482628978893
46,27 to 31,-14.931417178137554
46,25 to 27,90.0
47,3 to 7,0.0
47,23 to 25,135.0
47,28 to 30,180.0
47,11 to 23,-89.13194855025446
47,27 to 31,-11.888658039627975
47,25 to 27,91.6846843178963
48,3 to 7,90.0
48,23 to 25,135.0
48,28 to 30,180.0
48,11 to 23,-89.13194855025446
48,27 to 31,-10.007979801441337
48,25 to 27,91.70981404414152
49,3 to 7,33.690067525979785
49,23 to 25,116.56505117707799
49,28 to 30,180.0
49,11 to 23,-87.35745470593528
49,27 to 31,-5.710593137499642
49,25 to 27,96.14662565964667
50,3 to 7,8.13010235415598
50,23 to 25,26.56505117707799
50,28 to 30,23.962488974578186
50,11 to 23,-78.3106308245608
50,27 to 31,-30.96375653207352
50,25 to 27,91.6846843178963
51,3 to 7,-10.304846468766033
51,23 to 25,180.0
51,28 to 30,180.0
51,11 to 23,-82.76307797403199
51,27 to 31,5.9061411137705
51,25 to 27,102.3390872783262
52,15 to 21,166.5042667192042
52,16 to 20,169.69515353123398
52,18 to 20,159.14554196042167
52,3 to 7,-36.02737338510361
52,14 to 16,21.25050550713324
