Frame,Joint,Angle (Degrees)
0,15 to 21,171.11934084947978
0,16 to 20,170.24757505834623
0,18 to 20,169.93931020467704
0,3 to 7,15.642246457208728
0,14 to 16,-22.306205054907643
0,23 to 25,-2.8624052261117474
0,28 to 30,-1.5911402711945872
0,11 to 23,-72.47443162627712
0,27 to 31,175.0302592718897
0,16 to 18,180.0
0,25 to 27,90.0
1,15 to 21,170.13419305691565
1,16 to 20,167.7352262721076
1,18 to 20,167.56043798115346
1,3 to 7,17.81888891452278
1,14 to 16,-27.121303404158663
1,23 to 25,-7.765166018425333
1,28 to 30,-1.3322198538696388
1,11 to 23,-71.87813975209865
1,27 to 31,176.18592516570965
1,16 to 18,180.0
1,25 to 27,85.15599962491933
2,15 to 21,168.6900675259798
2,16 to 20,166.5042667192042
2,18 to 20,166.14858098619501
2,3 to 7,22.750976342787634
2,14 to 16,-33.996459148250494
2,23 to 25,-2.2906100426385296
2,28 to 30,-1.169139327907419
2,11 to 23,-71.56505117707799
2,27 to 31,178.49256424122504
2,16 to 18,180.0
2,25 to 27,79.8753283446022
3,15 to 21,169.24903300681197
3,16 to 20,167.16439051359856
3,18 to 20,167.70473357700186
3,3 to 7,27.25532837494307
3,14 to 16,-37.69424046668917
3,23 to 25,-4.23639479905884
3,28 to 30,-4.316027519865624
3,11 to 23,-70.27772223555296
3,27 to 31,174.68545433005525
3,16 to 18,135.0
3,25 to 27,77.24246783912332
4,15 to 21,170.77011375627228
4,16 to 20,168.146995832256
4,18 to 20,168.55066201149995
4,3 to 7,27.216111557307478
4,14 to 16,-35.882137246204216
4,23 to 25,-6.581944655178011
4,28 to 30,-4.085616779974877
4,11 to 23,-68.38522105721376
4,27 to 31,173.92754359279232
4,16 to 18,153.434948822922
4,25 to 27,74.19748604606448
5,15 to 21,169.4264765814391
5,16 to 20,166.8424572599852
5,18 to 20,167.22875743509857
5,3 to 7,27.89727103094763
5,14 to 16,-38.99099404250548
5,23 to 25,-6.34019174590991
5,28 to 30,-3.0127875041833403
5,11 to 23,-64.79887635452492
5,27 to 31,173.79655209830818
5,16 to 18,153.434948822922
5,25 to 27,79.31508759999728
6,15 to 21,169.7651972365768
6,16 to 20,166.89079180184572
6,18 to 20,167.30041551040264
6,3 to 7,30.141385552075338
6,14 to 16,-38.829824904970394
6,23 to 25,-7.853313301978219
6,28 to 30,0.0
6,11 to 23,-61.55707137563666
6,27 to 31,174.92039213998544
6,16 to 18,153.434948822922
6,25 to 27,85.76360520094116
7,15 to 21,169.9920201985587
7,16 to 20,165.76271953423893
7,18 to 20,165.55596427550776
7,3 to 7,26.56505117707799
7,14 to 16,-38.08877288097532
7,23 to 25,-8.13010235415598
7,28 to 30,5.290081205371269
7,11 to 23,-56.309932474020215
7,27 to 31,177.4551956201869
7,16 to 18,180.0
7,25 to 27,90.0
8,15 to 21,172.40535663140858
8,16 to 20,168.6900675259798
8,18 to 20,168.31063082456083
8,3 to 7,19.798876354524932
8,14 to 16,-29.197486046064476
8,23 to 25,-7.125016348901798
8,28 to 30,12.407418527400745
8,11 to 23,-50.19442890773481
8,27 to 31,-178.69804732742114
8,16 to 18,180.0
8,25 to 27,91.94148639091439
9,15 to 21,-6.7098368077569335
9,16 to 20,0.0
9,18 to 20,7.125016348901798
9,3 to 7,168.6900675259798
9,14 to 16,-21.037511025421818
9,23 to 25,-3.576334374997351
9,28 to 30,22.249023657212366
9,11 to 23,-43.09084756700362
9,27 to 31,-173.0470425318261
9,16 to 18,-90.0
9,25 to 27,90.97102193107918
10,15 to 21,4.085616779974877
10,16 to 20,-4.085616779974877
10,18 to 20,3.8140748342903543
10,3 to 7,175.76360520094119
10,14 to 16,4.398705354995532
10,23 to 25,9.462322208025617
10,28 to 30,33.31063082456081
10,11 to 23,-39.28940686250036
10,27 to 31,-160.55996517182382
10,16 to 18,-116.56505117707799
