Frame,Joint,Angle (Degrees)
1,15 to 21,9.462322208025617
1,16 to 20,9.462322208025617
1,18 to 20,33.690067525979785
1,3 to 7,149.03624346792648
1,14 to 16,-11.309932474020213
1,23 to 25,155.22485943116808
1,28 to 30,80.53767779197439
1,11 to 23,-53.880659150520245
1,27 to 31,-80.53767779197439
1,16 to 18,-90.0
1,25 to 27,96.24191434741505
2,15 to 21,-18.43494882292201
2,16 to 20,-16.69924423399362
2,18 to 20,5.710593137499642
2,3 to 7,174.28940686250036
2,14 to 16,29.74488129694222
2,23 to 25,159.77514056883192
2,28 to 30,93.81407483429037
2,11 to 23,-61.476881393687975
2,27 to 31,-32.47119229084849
2,16 to 18,-90.0
2,25 to 27,95.80672690553158
3,3 to 7,160.55996517182382
3,23 to 25,164.74488129694222
3,28 to 30,124.69515353123397
3,11 to 23,-68.58703052512824
3,27 to 31,-10.304846468766033
3,25 to 27,95.80672690553158
4,15 to 21,-41.18592516570965
4,16 to 20,-41.18592516570965
4,18 to 20,-23.962488974578186
4,3 to 7,153.434948822922
4,14 to 16,-6.581944655178011
4,23 to 25,166.5042667192042
4,28 to 30,158.6293777306568
4,11 to 23,-78.8869594640517
4,27 to 31,-6.170175095029609
4,16 to 18,-108.43494882292202
4,25 to 27,97.59464336859145
5,15 to 21,-33.690067525979785
5,16 to 20,-33.690067525979785
5,18 to 20,-25.34617594194669
5,3 to 7,149.03624346792648
5,14 to 16,-11.309932474020213
5,23 to 25,166.8659776936037
5,28 to 30,169.9920201985587
5,11 to 23,-86.18592516570965
5,27 to 31,-4.573921259900861
5,16 to 18,-108.43494882292202
5,25 to 27,98.67317404787977
6,15 to 21,-46.33221985386964
6,3 to 7,135.9391909457356
6,23 to 25,165.96375653207352
6,28 to 30,172.23483398157467
6,11 to 23,-92.86240522611175
6,27 to 31,-3.7517290705259754
6,25 to 27,100.12467165539782
7,3 to 7,132.51044707800085
7,23 to 25,173.29016319224309
7,28 to 30,173.6598082540901
7,11 to 23,-101.30993247402021
7,27 to 31,-7.224315694045337
7,25 to 27,103.06931789628217
8,3 to 7,132.70938995736148
8,23 to 25,176.53177074108288
8,28 to 30,173.11827636936306
8,11 to 23,-106.69924423399362
8,27 to 31,-12.608606793366237
8,25 to 27,105.94539590092286
9,15 to 21,-44.292680631455745
9,16 to 20,-45.707319368544255
9,3 to 7,128.8298249049704
9,14 to 16,30.96375653207352
9,23 to 25,180.0
9,28 to 30,173.55839990066497
9,11 to 23,-107.7004277886672
9,27 to 31,-10.175510843043208
9,25 to 27,109.98310652189998
10,16 to 20,-52.43140797117251
10,3 to 7,128.29016319224309
10,14 to 16,9.462322208025617
10,23 to 25,-178.21008939175394
10,28 to 30,179.10482628978895
10,11 to 23,-103.2405199151872
10,27 to 31,-3.576334374997351
10,25 to 27,115.20112364547508
11,3 to 7,129.9575489308291
11,23 to 25,178.21008939175394
11,28 to 30,-179.09061955080085
11,11 to 23,-102.17145820858748
11,27 to 31,0.0
11,25 to 27,119.47588900324574
12,3 to 7,129.64417495714483
12,23 to 25,164.35775354279127
12,28 to 30,-175.15599962491933
12,11 to 23,-95.0131137550358
12,27 to 31,9.334998463138236
12,25 to 27,131.63353933657018
13,3 to 7,143.4269690214807
13,23 to 25,159.14554196042167
13,28 to 30,-167.24246783912335
13,11 to 23,-90.98776039963981
13,27 to 31,17.92791976200724
13,25 to 27,141.54629078329404
14,3 to 7,154.29004621918875
14,23 to 25,149.74356283647072
14,28 to 30,-156.50143432404792
14,11 to 23,-89.02897806892084
14,27 to 31,28.412661443072583
14,25 to 27,153.434948822922
15,3 to 7,155.55604521958347
15,23 to 25,141.34019174590992
15,28 to 30,-152.24145939893998
15,11 to 23,-87.99044618697886
15,27 to 31,30.323606862549987
15,25 to 27,150.4221613187387
16,3 to 7,-176.63353933657018
16,23 to 25,33.690067525979785
16,28 to 30,15.255118703057777
16,11 to 23,-71.93952806380082
16,27 to 31,-126.86989764584402
16,25 to 27,96.45881637871867
17,3 to 7,180.0
17,23 to 25,18.43494882292201
17,28 to 30,26.56505117707799
17,11 to 23,-66.03751102542182
17,27 to 31,-90.0
17,25 to 27,103.78159723565363
18,3 to 7,-173.29016319224309
18,23 to 25,-90.0
18,28 to 30,108.43494882292202
18,11 to 23,-72.97947438848014
18,27 to 31,11.309932474020213
18,25 to 27,108.12186024790135
19,3 to 7,177.3974377975002
19,23 to 25,-14.036243467926479
19,28 to 30,0.0
19,11 to 23,-80.53767779197439
19,27 to 31,14.036243467926479
19,25 to 27,105.25511870305779
20,3 to 7,173.8844964337146
20,23 to 25,-14.743562836470735
20,28 to 30,-17.102728969052375
20,11 to 23,-84.0938588862295
20,27 to 31,45.0
20,25 to 27,103.34872711328738
21,3 to 7,166.4295656148385
21,23 to 25,-13.392497753751098
21,28 to 30,-12.094757077012101
21,11 to 23,-80.53767779197439
21,27 to 31,162.89727103094762
21,25 to 27,92.91083782616775
22,15 to 21,159.56717132060132
22,16 to 20,157.61986494804043
22,18 to 20,156.80140948635182
22,3 to 7,-21.80140948635181
22,14 to 16,-22.98871680208064
22,23 to 25,-11.309932474020213
22,28 to 30,-11.888658039627975
22,11 to 23,-78.69006752597979
22,27 to 31,164.9315118405078
22,16 to 18,180.0
