Frame,Joint,X,Y
1,0,64,63
1,1,63,58
1,2,62,58
1,3,62,58
1,4,62,58
1,5,61,57
1,6,61,57
1,7,58,59
1,8,57,58
1,9,62,68
1,10,61,67
1,11,50,85
1,12,50,81
1,13,49,128
1,14,55,127
1,15,51,156
1,16,63,161
1,17,55,167
1,18,66,169
1,19,57,167
1,20,67,168
1,21,56,164
1,22,66,166
1,23,45,160
1,24,48,160
1,25,45,213
1,26,52,213
1,27,15,240
1,28,50,262
1,29,10,237
1,30,47,271
1,31,13,264
1,32,64,269
2,0,66,63
2,1,65,58
2,2,65,58
2,3,65,57
2,4,65,57
2,5,64,57
2,6,63,57
2,7,61,58
2,8,59,58
2,9,65,67
2,10,64,67
2,11,58,87
2,12,51,81
2,13,57,128
2,14,50,125
2,15,64,158
2,16,56,160
2,17,67,169
2,18,54,169
2,19,67,169
2,20,57,168
2,21,66,166
2,22,58,166
2,23,51,162
2,24,48,161
2,25,45,214
2,26,54,215
2,27,22,239
2,28,50,262
2,29,17,235
2,30,47,271
2,31,23,260
2,32,64,269
3,0,69,62
3,1,69,57
3,2,68,57
3,3,68,57
3,4,68,57
3,5,67,56
3,6,67,56
3,7,64,58
3,8,62,57
3,9,68,67
3,10,67,66
3,11,61,87
3,12,52,80
3,13,58,126
3,14,51,119
3,15,63,156
3,16,57,154
3,17,64,167
3,18,59,166
3,19,65,167
3,20,59,164
3,21,64,163
3,22,60,160
3,23,57,163
3,24,53,162
3,25,56,214
3,26,56,215
3,27,35,241
3,28,50,259
3,29,28,236
3,30,46,268
3,31,39,257
3,32,63,269
4,0,73,62
4,1,72,57
4,2,72,57
4,3,72,57
4,4,71,57
4,5,71,56
4,6,70,56
4,7,67,58
4,8,66,56
4,9,71,67
4,10,70,66
4,11,64,87
4,12,56,80
4,13,62,122
4,14,56,119
4,15,66,156
4,16,69,152
4,17,67,165
4,18,70,162
4,19,67,162
4,20,71,160
4,21,66,158
4,22,70,157
4,23,63,162
4,24,57,161
4,25,67,211
4,26,57,215
4,27,46,241
4,28,49,259
4,29,41,238
4,30,46,266
4,31,49,257
4,32,62,270
5,0,76,62
5,1,75,57
5,2,75,57
5,3,74,56
5,4,74,56
5,5,74,56
5,6,73,56
5,7,71,57
5,8,69,56
5,9,74,66
5,10,74,66
5,11,68,87
5,12,61,80
5,13,63,123
5,14,63,120
5,15,66,156
5,16,76,146
5,17,67,165
5,18,79,154
5,19,68,162
5,20,80,152
5,21,67,159
5,22,79,149
5,23,66,161
5,24,59,159
5,25,73,206
5,26,57,212
5,27,54,245
5,28,50,259
5,29,50,249
5,30,46,267
5,31,60,262
5,32,62,270
6,0,79,61
6,1,78,56
6,2,77,56
6,3,77,56
6,4,77,56
6,5,76,56
6,6,76,55
6,7,73,57
6,8,72,56
6,9,78,66
6,10,77,65
6,11,69,86
6,12,65,80
6,13,63,123
6,14,71,118
6,15,65,152
6,16,87,141
6,17,66,160
6,18,90,148
6,19,67,158
6,20,92,146
6,21,66,155
6,22,90,144
6,23,68,160
6,24,61,159
6,25,78,204
6,26,57,209
6,27,62,248
6,28,50,259
6,29,57,255
6,30,47,267
6,31,71,263
6,32,61,271
7,0,82,62
7,1,81,56
7,2,80,56
7,3,80,56
7,4,80,56
7,5,80,56
7,6,79,56
7,7,76,57
7,8,75,57
7,9,80,66
7,10,80,66
7,11,71,86
7,12,69,80
7,13,65,122
7,14,76,115
7,15,67,151
7,16,94,137
7,17,67,159
7,18,98,143
7,19,68,157
7,20,100,140
7,21,68,154
7,22,98,139
7,23,70,160
7,24,63,159
7,25,84,202
7,26,58,209
7,27,74,251
7,28,50,259
7,29,71,258
7,30,47,267
7,31,86,264
7,32,61,271
8,0,86,63
8,1,85,58
8,2,84,57
8,3,84,57
8,4,84,58
8,5,84,57
8,6,83,57
8,7,80,58
8,8,79,58
8,9,84,67
8,10,84,67
8,11,74,86
8,12,73,81
8,13,71,122
8,14,82,116
8,15,74,151
8,16,101,133
8,17,75,159
8,18,105,138
8,19,76,158
8,20,106,135
8,21,76,154
8,22,104,134
8,23,72,161
8,24,68,160
8,25,88,202
8,26,60,209
8,27,85,253
8,28,50,260
8,29,82,262
8,30,47,268
8,31,98,264
8,32,61,271
9,0,89,65
9,1,88,59
9,2,88,59
9,3,87,58
9,4,88,59
9,5,87,59
9,6,87,59
9,7,84,60
9,8,83,60
9,9,88,69
9,10,88,69
9,11,77,87
9,12,77,84
9,13,78,123
9,14,86,116
9,15,83,151
9,16,107,128
9,17,84,159
9,18,111,131
9,19,86,157
9,20,111,128
9,21,85,154
9,22,110,128
9,23,75,161
9,24,71,161
9,25,91,202
9,26,62,210
9,27,95,251
9,28,50,260
9,29,93,260
9,30,47,269
9,31,104,263
9,32,61,271
10,0,93,67
10,1,92,61
10,2,92,61
10,3,91,60
10,4,92,61
10,5,91,61
10,6,91,61
10,7,88,62
10,8,87,63
10,9,92,71
10,10,92,71
10,11,82,90
10,12,81,87
10,13,84,123
10,14,91,116
10,15,90,150
10,16,113,128
10,17,91,157
10,18,118,130
10,19,93,155
10,20,118,127
10,21,93,153
10,22,117,127
10,23,78,163
10,24,74,163
10,25,94,203
10,26,63,210
10,27,105,251
10,28,50,260
10,29,104,261
10,30,47,269
10,31,117,256
10,32,62,270
11,0,96,70
11,1,95,65
11,2,95,65
11,3,94,64
11,4,95,65
11,5,94,65
11,6,93,65
11,7,91,65
11,8,89,66
11,9,95,75
11,10,95,75
11,11,86,93
11,12,85,90
11,13,90,123
11,14,98,117
11,15,102,145
11,16,116,127
11,17,104,150
11,18,121,130
11,19,105,148
11,20,122,127
11,21,105,146
11,22,120,127
11,23,82,165
11,24,78,165
11,25,97,206
11,26,65,210
11,27,113,250
11,28,50,260
11,29,113,260
11,30,46,269
11,31,126,247
11,32,62,270
12,0,101,73
12,1,99,67
12,2,99,67
12,3,99,67
12,4,99,68
12,5,99,67
12,6,98,67
12,7,95,68
12,8,94,69
12,9,100,77
12,10,99,77
12,11,90,95
12,12,88,91
12,13,97,123
12,14,100,118
12,15,116,130
12,16,120,127
12,17,118,132
12,18,124,130
12,19,119,129
12,20,126,127
12,21,119,129
12,22,124,126
12,23,86,166
12,24,81,166
12,25,101,207
12,26,67,211
12,27,118,250
12,28,50,260
12,29,118,261
12,30,46,269
12,31,131,247
12,32,62,269
13,0,105,74
13,1,104,69
13,2,104,68
13,3,104,68
13,4,104,69
13,5,103,69
13,6,102,69
13,7,100,70
13,8,99,70
13,9,104,78
13,10,103,78
13,11,95,96
13,12,93,93
13,13,96,125
13,14,105,120
13,15,104,135
13,16,124,129
13,17,106,134
13,18,129,132
13,19,107,132
13,20,129,129
13,21,107,132
13,22,128,128
13,23,92,167
13,24,85,167
13,25,105,207
13,26,70,211
13,27,118,249
13,28,51,258
13,29,118,259
13,30,47,267
13,31,129,250
13,32,62,268
14,0,110,74
14,1,108,69
14,2,108,69
14,3,108,69
14,4,108,69
14,5,107,69
14,6,107,69
14,7,104,70
14,8,103,71
14,9,109,79
14,10,108,79
14,11,98,98
14,12,98,94
14,13,90,131
14,14,110,123
14,15,97,161
14,16,128,130
14,17,89,171
14,18,132,134
14,19,93,171
14,20,133,131
14,21,93,166
14,22,131,131
14,23,98,169
14,24,91,168
14,25,110,208
14,26,74,212
14,27,120,250
14,28,54,254
14,29,119,259
14,30,48,262
14,31,130,253
14,32,62,268
15,0,113,74
15,1,112,69
15,2,111,69
15,3,111,69
15,4,111,69
15,5,110,69
15,6,110,69
15,7,108,70
15,8,106,71
15,9,112,79
15,10,111,79
15,11,103,97
15,12,103,93
15,13,101,132
15,14,112,123
15,15,107,158
15,16,132,132
15,17,106,167
15,18,135,134
15,19,108,166
15,20,136,133
15,21,107,163
15,22,135,133
15,23,103,168
15,24,96,168
15,25,114,208
15,26,81,212
15,27,121,247
15,28,58,250
15,29,119,256
15,30,52,254
15,31,131,257
15,32,62,268
16,0,117,74
16,1,116,69
16,2,116,69
16,3,116,69
16,4,115,69
16,5,115,69
16,6,114,69
16,7,112,70
16,8,111,71
16,9,116,79
16,10,115,79
16,11,106,97
16,12,107,93
16,13,107,132
16,14,114,124
16,15,112,156
16,16,132,137
16,17,113,164
16,18,136,139
16,19,115,163
16,20,136,139
16,21,114,160
16,22,135,138
16,23,106,167
16,24,101,167
16,25,118,208
16,26,89,212
16,27,123,251
16,28,63,245
16,29,121,259
16,30,57,245
16,31,130,261
16,32,64,268
17,0,120,74
17,1,119,69
17,2,119,68
17,3,119,68
17,4,119,69
17,5,118,69
17,6,117,68
17,7,115,70
17,8,114,70
17,9,119,78
17,10,119,78
17,11,111,96
17,12,111,93
17,14,117,124
17,15,119,156
17,16,133,144
17,17,120,161
17,18,136,148
17,19,122,160
17,20,137,148
17,21,122,158
17,22,136,147
17,23,109,167
17,24,107,167
17,25,119,207
17,26,98,212
17,27,124,252
17,28,70,241
17,29,121,261
17,30,65,241
17,31,131,263
17,32,68,267
18,0,125,73
18,1,123,68
18,2,123,68
