Frame,Joint,X,Y
0,0,92,20
0,1,90,15
0,2,89,15
0,3,89,16
0,4,89,15
0,5,88,15
0,6,88,15
0,7,84,18
0,8,82,17
0,9,91,27
0,10,90,26
0,11,80,58
0,12,73,43
0,14,87,78
0,16,114,86
0,18,119,90
0,20,120,89
0,22,118,88
0,23,78,145
0,24,68,142
0,25,92,198
0,26,51,206
0,27,102,269
0,28,15,263
0,29,99,283
0,30,7,268
0,31,118,280
0,32,22,288
1,0,95,20
1,1,93,15
1,2,92,15
1,3,92,15
1,4,92,14
1,5,91,14
1,6,90,14
1,7,88,18
1,8,86,17
1,9,94,27
1,10,93,26
1,11,83,56
1,12,78,43
1,14,89,81
1,16,114,94
1,18,119,100
1,20,120,98
1,22,118,96
1,23,83,143
1,24,74,139
1,25,98,200
1,26,62,207
1,27,102,271
1,28,23,257
1,29,98,284
1,30,14,258
1,31,118,282
1,32,23,286
2,0,100,17
2,1,98,13
2,2,97,13
2,3,97,13
2,4,97,12
2,5,96,13
2,6,95,13
2,7,93,16
2,8,91,16
2,9,99,24
2,10,98,24
2,11,89,54
2,12,83,43
2,14,93,84
2,16,117,106
2,18,122,112
2,20,123,110
2,22,121,108
2,23,88,142
2,24,79,139
2,25,101,203
2,26,71,212
2,27,102,272
2,28,31,255
2,29,98,285
2,30,26,254
2,31,118,282
2,32,32,286
3,0,105,17
3,1,103,12
3,2,103,12
3,3,103,12
3,4,102,12
3,5,101,12
3,6,100,12
3,7,99,15
3,8,96,15
3,9,104,23
3,10,103,23
3,11,96,53
3,12,87,43
3,14,97,88
3,16,118,117
3,18,123,124
3,20,124,121
3,22,122,120
3,23,97,142
3,24,87,140
3,25,105,206
3,26,83,214
3,27,102,272
3,28,46,244
3,29,98,285
3,30,40,239
3,31,118,283
3,32,45,277
4,0,111,17
4,1,109,11
4,2,109,12
4,3,109,12
4,4,108,11
4,5,107,11
4,6,106,11
4,7,105,15
4,8,102,14
4,9,109,23
4,10,108,22
4,11,100,51
4,12,93,42
4,14,99,89
4,16,118,120
4,18,122,130
4,20,124,128
4,22,121,126
4,23,99,142
4,24,94,139
4,25,104,207
4,26,98,212
4,27,102,273
4,28,60,242
4,29,98,285
4,30,52,237
4,31,118,283
4,32,59,273
5,0,116,16
5,1,115,11
5,2,115,11
5,3,114,11
5,4,114,10
5,5,113,10
5,6,112,10
5,7,110,13
5,8,107,12
5,9,115,22
5,10,113,22
5,11,107,50
5,12,97,41
5,14,101,95
5,16,117,138
5,18,118,152
5,20,122,150
5,22,121,146
5,23,104,141
5,24,98,138
5,25,107,207
5,26,109,207
5,27,102,274
5,28,75,243
5,29,97,287
5,30,69,236
5,31,118,284
5,32,78,270
6,0,121,15
6,1,120,10
6,2,119,10
6,3,119,10
6,4,119,9
6,5,118,9
6,6,117,9
6,7,114,12
6,8,112,11
6,9,119,22
6,10,118,22
6,11,108,47
6,12,103,40
6,14,108,93
6,16,123,137
6,18,128,150
6,20,131,149
6,22,129,146
6,23,105,141
6,24,106,140
6,25,110,206
6,26,112,207
6,27,92,255
6,28,96,261
6,29,85,258
6,30,91,271
6,31,102,269
6,32,110,274
7,0,125,16
7,1,124,10
7,2,123,10
7,3,123,10
7,4,123,9
7,5,122,9
7,6,122,9
7,7,118,12
7,8,116,11
7,9,123,22
7,10,123,22
7,11,112,45
7,12,108,40
7,14,112,92
7,16,130,134
7,18,133,147
7,20,138,142
7,22,135,139
7,23,111,140
7,24,109,140
7,25,114,204
7,26,119,203
7,27,96,256
7,28,102,262
7,29,89,265
7,30,96,272
7,31,107,272
7,32,114,277
8,0,130,15
8,1,128,9
8,2,128,9
8,3,128,9
8,4,127,8
8,5,127,8
8,6,126,8
8,7,123,10
8,8,121,10
8,9,128,21
8,10,127,21
8,11,116,44
8,12,114,40
8,14,116,94
8,16,140,130
8,18,146,140
8,20,148,137
8,22,146,134
8,23,116,140
8,24,115,140
8,25,114,204
8,26,119,204
8,27,104,260
8,28,109,262
8,29,98,269
8,30,104,273
8,31,114,274
8,32,121,277
9,0,135,16
9,1,134,10
9,2,133,10
9,3,133,10
9,4,133,9
9,5,133,9
9,6,132,9
9,7,129,10
9,8,127,10
9,9,133,22
9,10,132,22
9,11,122,45
9,12,117,40
9,14,113,93
9,16,105,137
9,17,155,128
9,18,104,147
9,19,157,128
9,20,106,148
9,21,154,127
9,22,107,145
9,23,118,138
9,24,117,137
9,25,113,204
9,26,134,199
9,27,103,267
9,28,128,261
9,29,98,279
9,30,123,273
9,31,116,278
9,32,143,278
10,0,139,16
10,1,138,10
10,2,138,10
10,3,137,10
10,4,137,9
10,5,136,9
10,6,135,9
10,7,134,13
10,8,131,11
10,9,138,22
10,10,136,22
10,11,130,49
10,12,120,40
10,14,112,92
10,15,161,119
10,16,100,135
10,17,168,122
10,18,96,145
10,19,169,120
10,20,97,145
10,21,166,120
10,22,99,143
10,23,126,138
10,24,121,137
10,25,115,206
10,26,143,198
10,27,103,274
10,28,142,265
10,29,98,284
10,30,139,277
10,31,118,282
10,32,158,278
11,0,143,18
11,1,141,13
11,2,141,13
11,3,141,13
11,4,141,12
11,5,140,12
11,6,139,12
11,7,138,15
11,8,135,14
11,9,142,24
11,10,141,23
11,11,136,52
11,12,125,43
11,13,144,98
11,14,112,92
11,15,169,113
11,16,99,132
11,17,174,116
11,18,94,142
11,19,176,113
11,20,95,143
11,21,174,113
11,22,97,140
11,23,130,144
11,24,128,142
11,25,116,210
11,26,147,202
11,27,102,275
11,28,156,270
11,29,97,286
11,30,153,280
11,31,118,284
11,32,170,277
12,0,147,23
12,1,146,16
12,2,145,16
12,3,145,16
12,4,145,16
12,5,144,16
12,6,143,15
12,7,142,18
12,8,139,17
12,9,146,28
12,10,145,27
12,11,140,55
12,12,129,48
12,13,149,100
12,14,113,93
12,15,175,111
12,16,98,132
12,17,180,114
12,18,94,142
12,19,183,110
12,20,96,143
12,21,181,110
12,22,98,140
12,23,134,143
12,24,131,142
12,25,119,209
12,26,151,204
12,27,102,274
12,28,167,269
12,29,97,285
12,30,167,280
12,31,118,283
12,32,187,268
13,0,153,25
13,1,151,19
13,2,151,18
13,3,151,18
13,4,151,18
13,5,150,18
13,6,149,17
13,7,146,20
13,8,145,20
13,9,151,30
13,10,150,30
13,11,143,56
13,12,136,51
13,13,153,101
13,14,117,93
13,15,179,111
13,16,100,131
13,17,184,114
13,18,96,141
13,19,186,110
13,20,98,141
13,21,184,110
13,22,99,138
13,23,138,146
13,24,137,145
13,25,122,210
13,26,157,205
13,27,102,274
13,28,177,268
13,29,97,284
13,30,176,280
13,31,118,283
13,32,195,265
14,0,160,24
14,1,158,18
14,2,158,18
14,3,157,18
14,4,158,18
14,5,157,17
14,6,156,17
14,7,153,20
14,8,152,19
14,9,158,30
14,10,157,30
14,11,148,56
14,12,141,50
14,13,157,101
14,14,121,93
14,15,182,112
14,16,103,130
14,17,188,114
14,18,99,140
14,19,190,110
14,20,101,141
14,21,188,110
14,22,102,138
14,23,144,147
14,24,143,145
14,25,126,210
14,26,161,205
14,27,103,273
14,28,180,267
14,29,97,284
14,30,180,279
14,31,118,283
14,32,197,268
15,0,166,24
15,1,164,18
15,2,163,18
15,3,163,18
15,4,163,18
15,5,163,17
15,6,162,17
15,7,158,20
15,8,158,19
15,9,164,30
15,10,163,30
15,11,153,56
15,12,148,50
15,13,161,101
15,14,129,93
15,15,187,113
15,16,103,130
15,17,193,117
15,18,102,140
15,19,194,113
15,20,103,141
15,21,192,112
15,22,104,138
15,23,150,146
15,24,149,145
15,25,131,210
15,26,167,206
15,27,106,269
15,28,183,267
15,29,98,279
15,30,181,280
15,31,119,283
15,32,200,270
16,0,170,24
16,1,169,18
16,2,168,18
16,3,168,17
16,4,168,17
16,5,168,17
16,6,167,17
16,7,164,19
16,8,162,19
16,9,169,30
16,10,168,29
16,11,158,56
16,12,154,50
16,13,164,100
16,14,137,93
16,15,191,114
16,16,114,130
16,17,196,117
16,18,109,140
16,19,198,114
16,20,109,140
16,21,196,113
16,22,111,138
16,23,157,144
16,24,155,145
16,25,139,209
16,26,174,204
16,27,110,264
16,28,186,267
16,29,103,270
16,30,182,280
16,31,121,282
16,32,203,276
17,0,176,21
17,1,174,16
17,2,173,16
17,3,172,16
17,4,174,16
17,5,173,16
17,6,172,16
17,7,168,18
17,8,168,18
17,9,174,28
17,10,173,28
17,11,163,55
17,12,160,50
17,13,172,98
17,14,147,92
17,15,195,122
17,16,130,132
17,17,200,124
17,18,121,139
17,19,201,123
17,20,120,140
17,21,199,123
17,22,122,138
17,23,163,143
17,24,162,144
17,25,148,209
17,26,179,202
17,27,116,255
17,28,188,269
17,29,110,257
17,30,184,282
17,31,122,281
17,32,206,281
18,0,181,20
18,1,179,14
18,2,179,14
18,3,178,14
18,4,179,15
18,5,178,15
18,6,178,15
18,7,174,17
18,8,173,17
18,9,180,27
18,10,179,26
18,11,167,53
18,12,165,49
18,13,175,97
18,14,153,93
18,15,191,127
18,16,136,131
18,17,196,133
18,18,131,139
18,19,197,135
18,20,131,140
18,21,195,134
18,22,133,138
18,23,168,143
18,24,167,144
18,25,162,206
18,26,176,205
18,27,125,247
18,28,188,271
18,29,126,253
18,30,177,283
18,31,129,279
18,32,203,283
19,0,187,17
19,1,185,12
19,2,185,12
19,3,184,12
19,4,184,12
19,5,183,13
19,6,183,13
19,7,180,14
19,8,178,15
19,9,185,24
19,10,184,24
19,11,173,51
19,12,171,49
19,13,171,97
19,14,159,93
19,15,186,132
19,16,146,132
19,17,190,139
19,18,143,142
19,19,192,142
19,20,144,144
19,21,189,140
19,22,151,142
19,23,174,142
19,24,172,144
19,25,170,206
19,26,186,206
19,27,137,243
19,28,190,273
19,29,131,243
19,30,184,286
19,31,138,274
19,32,206,285
20,0,192,14
20,1,190,9
20,2,190,9
20,3,189,9
20,4,189,9
20,5,188,9
20,6,188,9
20,7,185,11
20,8,183,11
20,9,191,20
20,10,189,20
20,11,180,49
20,12,176,47
20,13,181,98
20,14,165,94
20,15,193,137
20,16,158,138
20,17,197,147
20,18,157,150
20,19,199,148
20,20,159,151
20,21,197,145
20,22,161,148
20,23,180,138
20,24,175,141
20,25,187,201
20,26,188,206
20,27,161,246
20,28,190,273
20,29,151,242
20,30,184,287
20,31,168,265
20,32,206,285
21,0,196,12
21,1,194,7
21,2,194,7
21,3,193,7
21,4,194,7
21,5,193,7
21,6,193,7
21,7,190,10
21,8,189,10
21,9,195,18
21,10,194,18
