Frame,Joint,X,Y
39,0,76,94
39,1,75,89
39,2,75,89
39,3,75,88
39,4,75,89
39,5,74,88
39,6,74,88
39,7,71,88
39,8,69,88
39,9,74,99
39,10,73,99
39,11,65,113
39,12,61,113
39,13,65,155
39,14,64,160
39,16,70,200
39,18,71,210
39,20,73,207
39,22,72,204
39,23,69,193
39,24,68,195
39,25,78,244
39,26,82,249
39,27,78,296
39,28,88,306
39,29,77,305
39,30,86,314
39,31,89,304
39,32,100,312
40,0,77,94
40,1,77,89
40,2,76,89
40,3,76,89
40,4,76,89
40,5,76,89
40,6,75,88
40,7,72,88
40,8,71,88
40,9,75,99
40,10,75,99
40,11,65,115
40,12,62,115
40,13,67,156
40,14,64,162
40,16,71,200
40,18,72,210
40,20,74,208
40,22,73,205
40,23,70,193
40,24,69,195
40,25,78,244
40,26,82,249
40,27,80,296
40,28,91,305
40,29,78,305
40,30,89,314
40,31,91,303
40,32,104,311
41,0,79,95
41,1,79,90
41,2,79,89
41,3,79,89
41,4,79,90
41,5,78,89
41,6,77,89
41,7,74,89
41,8,73,88
41,9,77,99
41,10,77,99
41,11,67,116
41,12,62,115
41,14,65,162
41,16,72,202
41,18,73,213
41,20,75,212
41,22,75,208
41,23,72,195
41,24,70,196
41,25,81,245
41,26,84,251
41,27,80,298
41,28,95,305
41,29,78,307
41,30,93,315
41,31,91,304
41,32,109,311
42,0,81,95
42,1,81,90
42,2,81,90
42,3,81,90
42,4,81,90
42,5,80,90
42,6,79,89
42,7,77,89
42,8,75,88
42,9,79,100
42,10,78,100
42,11,70,116
42,12,62,115
42,14,66,163
42,16,73,203
42,18,74,214
42,20,76,213
42,22,76,209
42,23,74,196
42,24,71,197
42,25,82,245
42,26,85,251
42,27,82,298
42,28,96,306
42,29,80,307
42,30,94,315
42,31,94,304
42,32,109,311
43,0,83,96
43,1,84,91
43,2,84,91
43,3,83,91
43,4,83,91
43,5,83,90
43,6,82,90
43,7,79,89
43,8,78,88
43,9,81,101
43,10,80,101
43,11,73,116
43,12,63,116
43,14,66,164
43,16,73,203
43,18,74,214
43,20,76,213
43,22,76,210
43,23,77,196
43,24,72,197
43,25,87,246
43,26,85,251
43,27,94,302
43,28,90,306
43,29,91,311
43,30,91,315
43,31,107,310
43,32,108,312
44,0,86,97
44,1,86,92
44,2,86,91
44,3,86,91
44,4,86,91
44,5,85,90
44,6,85,90
44,7,82,89
44,8,80,88
44,9,84,102
44,10,83,101
44,11,76,116
44,12,66,116
44,14,68,164
44,16,74,203
44,18,75,214
44,20,77,213
44,22,77,209
44,23,80,196
44,24,74,197
44,25,89,248
44,26,84,251
44,27,96,305
44,28,84,307
44,29,93,315
44,30,82,317
44,31,111,315
44,32,97,319
45,0,88,96
45,1,88,91
45,2,88,91
45,3,88,91
45,4,88,91
45,5,87,90
45,6,86,89
45,7,84,89
45,8,82,88
45,9,86,101
45,10,85,100
45,11,78,116
45,12,68,114
45,14,71,161
45,16,76,202
45,18,76,214
45,20,78,213
45,22,79,209
45,23,81,196
45,24,76,197
45,25,89,248
45,26,87,251
45,27,93,303
45,28,88,308
45,29,89,313
45,30,86,318
45,31,107,314
45,32,105,318
46,0,90,95
46,1,90,91
46,2,90,90
46,3,90,90
46,4,90,90
46,5,89,89
46,6,89,89
46,7,87,89
46,8,84,87
46,9,88,100
46,10,88,99
46,11,80,115
46,12,71,112
46,14,73,160
46,16,79,200
46,18,79,212
46,20,81,212
46,22,80,208
46,23,83,196
46,24,79,197
46,25,89,248
46,26,88,249
46,27,91,303
46,28,89,307
46,29,88,312
46,30,88,317
