Frame,Joint,Angle (Degrees)
1,15 to 21,90.0
1,16 to 20,180.0
1,18 to 20,71.56505117707799
1,3 to 7,-173.29016319224309
1,14 to 16,11.003540851749504
1,23 to 25,21.80140948635181
1,28 to 30,45.0
1,11 to 23,-69.56717132060132
1,27 to 31,34.5085229876684
1,16 to 18,-123.69006752597979
1,25 to 27,118.00917670801385
2,15 to 21,-177.08916217383225
2,16 to 20,-178.97696981133217
2,18 to 20,178.93908830973578
2,3 to 7,-6.009005957494525
2,14 to 16,6.952957468173915
2,23 to 25,-8.13010235415598
2,28 to 30,-71.56505117707799
2,11 to 23,-74.05460409907715
2,27 to 31,31.429565614838516
2,16 to 18,-135.0
2,25 to 27,114.36245301531218
3,15 to 21,-179.18154453831139
3,16 to 20,178.33971763101718
3,18 to 20,176.63353933657018
3,3 to 7,6.34019174590991
3,14 to 16,-3.7313969991604465
3,23 to 25,-21.80140948635181
3,28 to 30,-33.690067525979785
3,11 to 23,-76.20051460398064
3,27 to 31,28.072486935852957
3,16 to 18,-116.56505117707799
3,25 to 27,111.97450799147198
4,15 to 21,177.7974018382342
4,16 to 20,175.48601154199872
4,18 to 20,174.66784111834045
4,3 to 7,15.708637829015744
4,14 to 16,-16.11341823308929
4,23 to 25,-9.462322208025617
4,28 to 30,-18.43494882292201
4,11 to 23,-77.47119229084849
4,27 to 31,119.05460409907714
4,16 to 18,-135.0
4,25 to 27,99.46232220802563
5,15 to 21,175.1207262169933
5,16 to 20,173.0470425318261
5,18 to 20,172.17092348994038
5,3 to 7,18.924644416051233
5,14 to 16,-24.075498255078834
5,23 to 25,-12.264773727892402
5,28 to 30,-10.304846468766033
5,11 to 23,-75.74996730219641
5,27 to 31,153.434948822922
5,16 to 18,-153.434948822922
5,25 to 27,92.86240522611175
6,15 to 21,174.6232945719493
6,16 to 20,171.20258929000894
6,18 to 20,170.99149625797486
6,3 to 7,20.72555886556054
6,14 to 16,-28.009176708013836
6,23 to 25,-11.768288932020644
6,28 to 30,-7.765166018425333
6,11 to 23,-74.89890183861456
6,27 to 31,166.4295656148385
6,16 to 18,180.0
6,25 to 27,83.55839990066497
7,15 to 21,173.9559078377589
7,16 to 20,170.64702074990674
7,18 to 20,170.42577211490817
7,3 to 7,20.224859431168078
7,14 to 16,-28.950995207466804
7,23 to 25,-7.125016348901798
7,28 to 30,-5.389311759973409
7,11 to 23,-72.38742215707617
7,27 to 31,171.2538377374448
7,16 to 18,180.0
7,25 to 27,77.07400087529405
8,15 to 21,171.77327753589185
8,16 to 20,168.4248111826038
8,18 to 20,168.2875276889125
8,3 to 7,22.06789956241022
8,14 to 16,-33.38851357611151
8,23 to 25,-6.115503566285407
8,28 to 30,-2.815556684211228
8,11 to 23,-69.0265065786792
8,27 to 31,175.1354855622395
8,16 to 18,180.0
8,25 to 27,75.3026807204881
9,15 to 21,164.74488129694222
9,16 to 20,160.01689347810003
9,18 to 20,158.4286928087454
9,3 to 7,28.30075576600638
9,14 to 16,-63.43494882292201
9,23 to 25,-5.710593137499642
9,28 to 30,-2.7263109939062655
9,11 to 23,-67.03622694014545
9,27 to 31,174.28940686250036
9,16 to 18,-135.0
9,25 to 27,76.65127288671262
10,15 to 21,14.036243467926479
10,16 to 20,12.724355685422369
10,18 to 20,14.931417178137554
10,3 to 7,95.1944289077348
10,14 to 16,-154.72227776444706
10,23 to 25,-7.125016348901798
10,28 to 30,-3.576334374997351
10,11 to 23,-64.6538240580533
10,27 to 31,173.29016319224309
10,16 to 18,-45.0
