Frame,Joint,Angle (Degrees)
7,15 to 21,146.30993247402023
7,16 to 20,153.434948822922
7,18 to 20,131.18592516570965
7,3 to 7,-71.56505117707799
7,14 to 16,12.994616791916505
7,23 to 25,170.53767779197437
7,28 to 30,126.86989764584402
7,11 to 23,-87.35745470593528
7,27 to 31,13.392497753751098
7,16 to 18,-104.03624346792648
7,25 to 27,90.83031548625802
8,15 to 21,153.434948822922
8,16 to 20,151.3895403340348
8,18 to 20,135.0
8,3 to 7,-45.0
8,14 to 16,12.094757077012101
8,23 to 25,153.434948822922
8,28 to 30,-161.565051177078
8,11 to 23,-86.3670492605118
8,27 to 31,26.56505117707799
8,16 to 18,-104.03624346792648
8,25 to 27,90.93919094573559
9,15 to 21,158.74949449286677
9,16 to 20,158.19859051364818
9,18 to 20,144.46232220802563
9,3 to 7,-49.398705354995535
9,14 to 16,13.240519915187205
9,23 to 25,158.19859051364818
9,28 to 30,153.434948822922
9,11 to 23,-84.47245984834383
9,27 to 31,25.20112364547507
9,16 to 18,-104.03624346792648
9,25 to 27,93.69138598645128
10,15 to 21,160.01689347810003
10,16 to 20,159.77514056883192
10,18 to 20,147.0947570770121
10,3 to 7,-40.60129464500447
10,14 to 16,6.009005957494525
10,23 to 25,153.434948822922
10,28 to 30,180.0
10,11 to 23,-84.38241940987318
10,27 to 31,25.016893478100023
10,16 to 18,-116.56505117707799
10,25 to 27,94.61064931866062
11,15 to 21,157.38013505195957
11,16 to 20,159.14554196042167
11,18 to 20,149.03624346792648
11,3 to 7,-41.18592516570965
11,14 to 16,2.7263109939062655
11,23 to 25,180.0
11,28 to 30,135.0
11,11 to 23,-84.38241940987318
11,27 to 31,25.20112364547507
11,16 to 18,-104.03624346792648
11,25 to 27,95.52754015165618
12,15 to 21,154.29004621918875
12,16 to 20,156.50143432404792
12,18 to 20,147.52880770915152
12,3 to 7,-41.18592516570965
12,14 to 16,0.0
12,23 to 25,180.0
12,28 to 30,153.434948822922
12,11 to 23,-84.38241940987318
12,27 to 31,22.833654177917545
12,16 to 18,-104.03624346792648
12,25 to 27,94.61064931866062
13,15 to 21,153.434948822922
13,16 to 20,150.52411099675425
13,18 to 20,142.6960517220166
13,3 to 7,-45.0
13,14 to 16,-5.194428907734806
13,23 to 25,180.0
13,28 to 30,90.0
13,11 to 23,-84.38241940987318
13,27 to 31,16.389540334034784
13,16 to 18,-123.69006752597979
13,25 to 27,93.57633437499736
14,15 to 21,150.01836063115067
14,16 to 20,149.74356283647072
14,18 to 20,140.71059313749967
14,3 to 7,-45.0
14,14 to 16,-12.264773727892402
14,23 to 25,135.0
14,28 to 30,90.0
14,11 to 23,-85.3141001604973
14,27 to 31,-6.34019174590991
14,16 to 18,-116.56505117707799
14,25 to 27,92.45403167452707
15,15 to 21,149.34933204294714
15,16 to 20,146.30993247402023
15,18 to 20,140.4403320310055
15,3 to 7,-48.366460663429805
15,14 to 16,-14.620873988631656
15,23 to 25,90.0
15,28 to 30,45.0
15,11 to 23,-85.46222749209335
15,27 to 31,-21.037511025421818
15,16 to 18,-108.43494882292202
15,25 to 27,91.63657704161672
16,15 to 21,149.34933204294714
16,16 to 20,146.30993247402023
16,18 to 20,140.4403320310055
16,3 to 7,-48.366460663429805
16,14 to 16,-16.927513064147043
16,23 to 25,45.0
16,28 to 30,45.0
16,11 to 23,-85.53284093861072
16,27 to 31,-18.43494882292201
16,16 to 18,-108.43494882292202
16,25 to 27,92.48955292199916
17,15 to 21,148.73626830562256
17,16 to 20,145.7842978675626
17,18 to 20,140.19442890773482
17,3 to 7,-45.0
17,14 to 16,-14.620873988631656
17,23 to 25,90.0
17,28 to 30,50.19442890773481
