Frame,Joint,Angle (Degrees)
12,3 to 7,-80.53767779197439
12,23 to 25,90.0
12,28 to 30,78.69006752597979
12,11 to 23,-89.06080905426442
12,27 to 31,-3.8140748342903543
12,25 to 27,90.92404535277271
13,3 to 7,-90.0
13,23 to 25,63.43494882292201
13,28 to 30,56.309932474020215
13,11 to 23,-90.93919094573559
13,27 to 31,-12.994616791916505
13,25 to 27,88.15238973400541
14,3 to 7,-111.80140948635182
14,23 to 25,45.0
14,28 to 30,26.56505117707799
14,11 to 23,-90.89517371021107
14,27 to 31,-53.13010235415598
14,25 to 27,82.9834982552771
15,3 to 7,-98.13010235415598
15,23 to 25,75.96375653207353
15,28 to 30,18.43494882292201
15,11 to 23,-91.73570458892839
15,27 to 31,-37.874983651098205
15,25 to 27,82.23483398157467
16,3 to 7,-108.43494882292202
16,23 to 25,71.56505117707799
16,28 to 30,11.309932474020213
16,11 to 23,-90.88140399658214
16,27 to 31,-48.81407483429036
16,25 to 27,81.5110561194953
17,3 to 7,-90.0
17,23 to 25,143.13010235415598
17,28 to 30,153.434948822922
17,11 to 23,-93.41658819177135
17,27 to 31,-15.524110996754258
17,25 to 27,84.03551289874689
18,3 to 7,-80.53767779197439
18,23 to 25,149.03624346792648
18,28 to 30,135.0
18,11 to 23,-91.6846843178963
18,27 to 31,-8.530765609948133
18,25 to 27,85.73210669970919
19,3 to 7,-74.05460409907715
19,23 to 25,135.0
19,28 to 30,135.0
19,11 to 23,-91.6846843178963
19,27 to 31,-3.0127875041833403
19,25 to 27,88.29018595585848
20,3 to 7,-98.13010235415598
20,23 to 25,63.43494882292201
20,28 to 30,26.56505117707799
20,11 to 23,-89.15747573925958
20,27 to 31,-14.036243467926479
20,25 to 27,88.38646106711883
21,3 to 7,-99.46232220802563
21,23 to 25,78.69006752597979
21,28 to 30,8.13010235415598
21,11 to 23,-82.23483398157467
21,27 to 31,-26.56505117707799
21,25 to 27,89.14490260373329
22,3 to 7,-99.46232220802563
22,23 to 25,78.69006752597979
22,28 to 30,135.0
22,11 to 23,-82.23483398157467
22,27 to 31,-15.524110996754258
22,25 to 27,95.11731484997264
23,3 to 7,-128.6598082540901
23,23 to 25,39.80557109226519
23,28 to 30,20.224859431168078
23,11 to 23,-75.52970589993411
23,27 to 31,-116.56505117707799
23,25 to 27,91.6846843178963
24,3 to 7,-101.30993247402021
24,23 to 25,33.690067525979785
24,28 to 30,22.380135051959574
24,11 to 23,-73.03385189146381
24,27 to 31,-122.0053832080835
24,25 to 27,93.3664606634298
25,3 to 7,-90.0
25,23 to 25,45.0
25,28 to 30,153.434948822922
25,11 to 23,-79.93931020467704
25,27 to 31,-8.972626614896393
25,25 to 27,100.8230112262071
26,3 to 7,-90.0
26,23 to 25,0.0
26,28 to 30,-165.96375653207352
26,11 to 23,-82.8749836510982
26,27 to 31,0.0
26,25 to 27,103.84069549165562
27,3 to 7,-80.53767779197439
27,23 to 25,0.0
27,28 to 30,-161.565051177078
27,11 to 23,-79.69515353123397
27,27 to 31,14.534455080540122
27,25 to 27,109.48612957246577
28,3 to 7,-32.005383208083494
28,23 to 25,-161.565051177078
28,28 to 30,-174.28940686250036
28,11 to 23,-77.66091272167381
28,27 to 31,18.43494882292201
28,25 to 27,108.43494882292202
29,15 to 21,175.0302592718897
29,16 to 20,174.5596679689945
29,18 to 20,162.47443162627712
29,3 to 7,-41.6335393365702
29,14 to 16,23.19859051364819
29,23 to 25,180.0
29,28 to 30,126.86989764584402
29,11 to 23,-77.27564431457763
29,27 to 31,14.743562836470735
29,16 to 18,-116.56505117707799
29,25 to 27,99.60520415501296
30,15 to 21,162.25532837494308
30,16 to 20,160.01689347810003
30,18 to 20,152.35402463626133
30,3 to 7,-48.01278750418334
30,14 to 16,14.036243467926479
30,23 to 25,0.0
30,28 to 30,78.69006752597979
30,11 to 23,-79.04593735660167
30,27 to 31,15.945395900922854
30,16 to 18,-108.43494882292202
30,25 to 27,99.32359177813801
31,15 to 21,157.06789956241022
31,16 to 20,155.3764352138364
31,18 to 20,148.67130713219584
31,3 to 7,-42.27368900609374
31,14 to 16,8.13010235415598
31,23 to 25,0.0
31,28 to 30,39.80557109226519
31,11 to 23,-80.8376529542783
31,27 to 31,16.69924423399362
31,16 to 18,-108.43494882292202
31,25 to 27,94.26789330029081
32,15 to 21,155.85445803957836
32,16 to 20,157.83365417791757
32,18 to 20,151.69924423399362
32,3 to 7,-47.72631099390627
32,14 to 16,7.765166018425333
32,23 to 25,7.125016348901798
32,28 to 30,21.80140948635181
32,11 to 23,-80.8376529542783
32,27 to 31,-156.80140948635182
32,16 to 18,-108.43494882292202
32,25 to 27,88.38646106711883
33,15 to 21,151.82140989004085
33,16 to 20,152.5924245621816
33,18 to 20,144.6887865603668
33,3 to 7,-55.00797980144134
33,14 to 16,0.0
33,23 to 25,16.69924423399362
33,28 to 30,17.241459398939973
33,11 to 23,-77.96940390346214
33,27 to 31,-156.3706222693432
33,16 to 18,-135.0
33,25 to 27,84.28940686250037
34,15 to 21,153.434948822922
34,16 to 20,152.65012421993012
34,18 to 20,146.30993247402023
34,3 to 7,-57.52880770915151
34,14 to 16,-2.2906100426385296
34,23 to 25,12.994616791916505
34,28 to 30,13.240519915187205
34,11 to 23,-77.07400087529405
34,27 to 31,-163.07248693585296
34,16 to 18,-123.69006752597979
34,25 to 27,81.86989764584403
35,15 to 21,149.42077312751098
35,16 to 20,149.03624346792648
35,18 to 20,141.70983680775691
35,3 to 7,-74.05460409907715
35,14 to 16,-2.8624052261117474
35,23 to 25,12.094757077012101
35,28 to 30,13.324531261890785
35,11 to 23,-75.52970589993411
35,27 to 31,-165.4655449194599
35,16 to 18,-108.43494882292202
35,25 to 27,81.06940989958102
36,15 to 21,144.78240703180728
36,16 to 20,139.39870535499554
36,18 to 20,130.91438322002512
36,3 to 7,-116.56505117707799
36,14 to 16,-7.594643368591445
36,23 to 25,11.309932474020213
36,28 to 30,14.036243467926479
36,11 to 23,-75.52970589993411
36,27 to 31,-161.565051177078
36,16 to 18,-108.43494882292202
36,25 to 27,81.98290692634467
37,15 to 21,144.78240703180728
37,16 to 20,137.29061004263855
37,18 to 20,128.6598082540901
37,3 to 7,-101.30993247402021
37,14 to 16,-14.036243467926479
37,23 to 25,7.594643368591445
37,28 to 30,12.68038349181982
37,11 to 23,-72.69947280805499
37,27 to 31,-167.0053832080835
37,16 to 18,-108.43494882292202
37,25 to 27,83.48019824834302
38,15 to 21,141.84277341263095
38,16 to 20,135.0
38,18 to 20,125.53767779197437
38,3 to 7,-101.30993247402021
38,14 to 16,-4.398705354995532
38,23 to 25,0.0
38,28 to 30,12.994616791916505
38,11 to 23,-71.00334584451144
38,27 to 31,-167.0053832080835
38,16 to 18,-108.43494882292202
38,25 to 27,83.74596725608353
39,15 to 21,128.6598082540901
39,16 to 20,120.96375653207352
39,18 to 20,111.03751102542182
39,3 to 7,-111.80140948635182
39,14 to 16,0.0
39,23 to 25,5.194428907734806
39,28 to 30,15.751173663453027
39,11 to 23,-69.64677085193117
39,27 to 31,-167.0053832080835
39,16 to 18,-108.43494882292202
39,25 to 27,85.36453657309735
40,15 to 21,150.25511870305778
40,16 to 20,149.03624346792648
40,18 to 20,119.74488129694222
40,3 to 7,-78.69006752597979
40,14 to 16,45.0
40,23 to 25,8.13010235415598
40,28 to 30,24.567171320601314
40,11 to 23,-65.94265054998827
40,27 to 31,-159.44395478041653
40,16 to 18,-104.03624346792648
40,25 to 27,86.28471089457123
41,15 to 21,129.8055710922652
41,16 to 20,128.6598082540901
41,18 to 20,104.03624346792648
41,3 to 7,-81.86989764584403
41,14 to 16,51.34019174590991
41,23 to 25,11.309932474020213
41,28 to 30,30.699722550814414
41,11 to 23,-63.43494882292201
41,27 to 31,-159.44395478041653
41,16 to 18,-123.69006752597979
41,25 to 27,87.76882539196876
42,15 to 21,120.96375653207352
42,16 to 20,119.05460409907714
42,18 to 20,108.43494882292202
42,3 to 7,-51.34019174590991
42,14 to 16,-18.43494882292201
42,23 to 25,51.34019174590991
42,28 to 30,40.426078740099136
42,11 to 23,-62.049030972109826
42,27 to 31,-146.97613244420336
42,16 to 18,-108.43494882292202
42,25 to 27,90.0
43,15 to 21,114.44395478041653
43,16 to 20,111.80140948635182
43,18 to 20,102.9946167919165
43,3 to 7,-68.19859051364818
43,14 to 16,-45.0
43,23 to 25,68.19859051364818
43,28 to 30,46.2188752351313
43,11 to 23,-59.215853473673555
43,27 to 31,-135.0
43,16 to 18,-108.43494882292202
43,25 to 27,92.32153058983272
44,15 to 21,114.44395478041653
44,16 to 20,111.80140948635182
44,18 to 20,102.9946167919165
44,3 to 7,-78.69006752597979
44,14 to 16,-26.56505117707799
44,23 to 25,143.13010235415598
44,28 to 30,54.68878656036681
44,11 to 23,-57.52880770915151
44,27 to 31,-118.30075576600638
44,16 to 18,-108.43494882292202
44,25 to 27,92.35329686610831
45,15 to 21,95.71059313749964
45,16 to 20,95.1944289077348
45,18 to 20,90.0
45,3 to 7,-97.1250163489018
45,14 to 16,0.0
45,23 to 25,104.03624346792648
45,28 to 30,68.62937773065681
45,11 to 23,-66.94869908352698
45,27 to 31,-73.30075576600639
45,16 to 18,-116.56505117707799
45,25 to 27,95.63068275763527
46,15 to 21,40.60129464500447
46,16 to 20,55.00797980144134
46,18 to 20,61.69924423399363
46,3 to 7,-113.96248897457819
46,14 to 16,180.0
46,23 to 25,101.30993247402021
46,28 to 30,80.53767779197439
46,11 to 23,-72.97947438848014
46,27 to 31,-48.01278750418334
46,16 to 18,-90.0
46,25 to 27,96.61346048231475
47,15 to 21,35.53767779197438
47,16 to 20,56.309932474020215
47,18 to 20,63.43494882292201
47,3 to 7,-126.86989764584402
47,14 to 16,26.56505117707799
47,23 to 25,150.94539590092285
47,28 to 30,81.02737338510362
47,11 to 23,-68.19859051364818
47,27 to 31,-47.72631099390627
47,16 to 18,-90.0
47,25 to 27,95.71059313749964
48,15 to 21,74.05460409907715
48,16 to 20,77.47119229084849
48,18 to 20,80.53767779197439
48,3 to 7,-122.0053832080835
48,14 to 16,26.56505117707799
48,23 to 25,153.434948822922
48,28 to 30,100.30484646876603
48,11 to 23,-78.11134196037202
48,27 to 31,-15.945395900922854
48,16 to 18,-90.0
48,25 to 27,97.4314079711725
49,15 to 21,60.25511870305778
49,16 to 20,69.44395478041653
49,18 to 20,63.43494882292201
49,3 to 7,-126.86989764584402
49,14 to 16,23.19859051364819
49,23 to 25,153.434948822922
49,28 to 30,131.18592516570965
49,11 to 23,-81.86989764584403
49,27 to 31,-7.765166018425333
49,16 to 18,-135.0
49,25 to 27,98.13010235415598
50,15 to 21,49.398705354995535
50,16 to 20,53.13010235415598
50,18 to 20,61.38954033403479
50,3 to 7,-131.63353933657018
50,14 to 16,45.0
50,23 to 25,-165.96375653207352
50,28 to 30,156.80140948635182
50,11 to 23,-81.63411387596742
50,27 to 31,-2.2906100426385296
50,16 to 18,-90.0
50,25 to 27,98.13010235415598
51,15 to 21,74.05460409907715
51,16 to 20,66.80140948635182
51,18 to 20,74.74488129694222
51,3 to 7,-120.25643716352927
51,14 to 16,45.0
51,23 to 25,-171.86989764584402
51,28 to 30,170.53767779197437
51,11 to 23,-87.54596832547293
51,27 to 31,-5.042451069170913
51,16 to 18,-90.0
51,25 to 27,98.80679269443532
52,16 to 20,30.96375653207352
52,18 to 20,59.03624346792648
52,3 to 7,-138.01278750418336
52,14 to 16,51.34019174590991
52,23 to 25,-66.80140948635182
52,28 to 30,-10.885527054658738
52,11 to 23,-79.01934998982645
52,27 to 31,150.94539590092285
52,16 to 18,-98.13010235415598
52,25 to 27,81.1932073055647
53,3 to 7,-143.9726266148964
53,23 to 25,-135.0
53,28 to 30,165.96375653207352
53,11 to 23,-89.14490260373329
53,27 to 31,0.0
53,25 to 27,89.21517539700811
54,3 to 7,-153.434948822922
54,23 to 25,-150.25511870305778
54,28 to 30,158.96248897457818
54,11 to 23,-92.52611691161955
54,27 to 31,-1.4320961841646465
54,25 to 27,100.37584492005105
55,3 to 7,-151.3895403340348
55,23 to 25,-172.8749836510982
55,28 to 30,171.2538377374448
55,11 to 23,-99.18883607735876
55,27 to 31,-4.927109947649014
55,25 to 27,102.69958448959737
56,3 to 7,-139.39870535499554
56,23 to 25,-176.98721249581666
56,28 to 30,173.36748538486154
56,11 to 23,-97.53944513950931
56,27 to 31,-4.84400037508068
56,25 to 27,103.65041913475699
57,3 to 7,-135.0
57,23 to 25,175.91438322002512
57,28 to 30,178.45184230102205
57,11 to 23,-97.32640666016954
57,27 to 31,-0.98776039963981
57,25 to 27,108.17801879841849
58,3 to 7,-129.8055710922652
58,23 to 25,172.8749836510982
58,28 to 30,-174.9575489308291
58,11 to 23,-91.54815769897796
58,27 to 31,1.9414863909143774
58,25 to 27,110.74608027568343
59,3 to 7,-108.43494882292202
59,23 to 25,171.86989764584402
59,28 to 30,-175.8150838748816
59,11 to 23,-93.09405805891711
59,27 to 31,5.527540151656172
59,25 to 27,112.4258619213518
60,3 to 7,-83.6598082540901
60,23 to 25,168.6900675259798
60,28 to 30,-170.3112134396332
60,11 to 23,-93.09405805891711
60,27 to 31,11.49656301758578
60,25 to 27,116.56505117707799
61,3 to 7,-77.47119229084849
61,23 to 25,172.8749836510982
61,28 to 30,-164.87599269168942
61,11 to 23,-90.0
61,27 to 31,14.995079129175986
61,25 to 27,119.74488129694222
62,3 to 7,-83.6598082540901
62,23 to 25,180.0
62,28 to 30,-159.44395478041653
62,11 to 23,-88.45184230102204
62,27 to 31,20.07152586453873
62,25 to 27,121.72360295768402
63,3 to 7,-77.47119229084849
63,23 to 25,180.0
63,28 to 30,-155.3764352138364
63,11 to 23,-85.23635830927383
63,27 to 31,24.94390526342458
63,25 to 27,119.40718906073367
64,3 to 7,-71.56505117707799
64,23 to 25,0.0
64,28 to 30,-153.434948822922
64,11 to 23,-82.5685920288275
64,27 to 31,27.82409638425326
64,25 to 27,118.17859010995917
65,3 to 7,-90.0
65,23 to 25,0.0
65,28 to 30,-143.13010235415598
65,11 to 23,-79.54009090707088
65,27 to 31,32.19573393471325
65,25 to 27,112.47943439710312
66,3 to 7,-78.69006752597979
66,23 to 25,-36.86989764584402
66,28 to 30,-116.56505117707799
66,11 to 23,-79.2157021324374
66,27 to 31,35.83765295427829
66,25 to 27,107.61257784292383
