Frame,Joint,Angle (Degrees)
1,15 to 21,-167.90524292298792
1,16 to 20,-164.9315118405078
1,18 to 20,-173.15722658736905
1,3 to 7,-23.19859051364819
1,14 to 16,34.99202019855866
1,23 to 25,165.96375653207352
1,28 to 30,69.44395478041653
1,11 to 23,-38.15722658736906
1,27 to 31,-111.25050550713325
1,16 to 18,-104.03624346792648
1,25 to 27,94.08561677997488
2,15 to 21,-166.75948008481282
2,16 to 20,-162.89727103094762
2,18 to 20,175.2363583092738
2,3 to 7,-26.56505117707799
2,14 to 16,40.60129464500447
2,23 to 25,180.0
2,28 to 30,74.74488129694222
2,11 to 23,-43.025065989118026
2,27 to 31,-100.61965527615514
2,16 to 18,-101.30993247402021
2,25 to 27,93.75172907052598
3,15 to 21,90.0
3,16 to 20,45.0
3,18 to 20,51.34019174590991
3,3 to 7,-168.6900675259798
3,14 to 16,18.43494882292201
3,23 to 25,172.23483398157467
3,28 to 30,87.51044707800085
3,11 to 23,-45.971021931079164
3,27 to 31,-66.80140948635182
3,16 to 18,-123.69006752597979
3,25 to 27,93.94518622903756
4,15 to 21,0.0
4,16 to 20,0.0
4,18 to 20,30.96375653207352
4,3 to 7,165.96375653207352
4,14 to 16,15.945395900922854
4,23 to 25,173.6598082540901
4,28 to 30,122.90524292298791
4,11 to 23,-61.38954033403479
4,27 to 31,-15.255118703057777
4,16 to 18,-108.43494882292202
4,25 to 27,95.71059313749964
5,15 to 21,-32.7352262721076
5,16 to 20,-34.5085229876684
5,18 to 20,-26.56505117707799
5,3 to 7,146.30993247402023
5,14 to 16,14.036243467926479
5,23 to 25,168.31063082456083
5,28 to 30,160.8209919741893
5,11 to 23,-76.86597769360368
5,27 to 31,-2.935673446421173
5,16 to 18,-90.0
5,25 to 27,96.54629078329404
6,15 to 21,-40.91438322002513
6,16 to 20,-41.18592516570965
6,18 to 20,-32.9052429229879
6,3 to 7,144.24611274556327
6,14 to 16,0.0
6,23 to 25,172.64762064010765
6,28 to 30,176.53177074108288
6,11 to 23,-84.47245984834383
6,27 to 31,0.0
6,16 to 18,-108.43494882292202
6,25 to 27,97.59464336859145
7,15 to 21,-47.72631099390627
7,16 to 20,-51.63251461513847
7,18 to 20,-46.39718102729638
7,3 to 7,135.0
7,14 to 16,0.0
7,23 to 25,176.18592516570965
7,28 to 30,178.66778014613035
7,11 to 23,-92.7702157972002
7,27 to 31,-0.9240453527727062
7,16 to 18,-108.43494882292202
7,25 to 27,101.12918928961119
8,15 to 21,-46.041626676009976
8,16 to 20,-47.04540848888723
8,18 to 20,-42.87890360333855
8,3 to 7,135.88140399658215
8,14 to 16,0.0
8,23 to 25,180.0
8,28 to 30,176.76029970389789
8,11 to 23,-102.22512267573575
8,27 to 31,-3.1798301198642345
8,16 to 18,-108.43494882292202
8,25 to 27,103.3924977537511
9,15 to 21,-42.27368900609374
9,16 to 20,-43.15238973400541
9,18 to 20,-40.155999624919325
9,3 to 7,133.40885972880542
9,14 to 16,-18.43494882292201
9,23 to 25,-171.38435181583588
9,28 to 30,177.18444331578877
9,11 to 23,-106.50436138175503
9,27 to 31,-7.926926682689598
9,16 to 18,-90.0
9,25 to 27,104.69731927951192
10,15 to 21,-43.45184230102203
10,16 to 20,-43.49256424122503
10,18 to 20,-41.08175113593263
10,3 to 7,128.99099404250546
10,14 to 16,-26.56505117707799
10,23 to 25,-173.29016319224309
10,28 to 30,176.4785466230778
10,11 to 23,-107.47477425625567
10,27 to 31,-8.797410709991064
10,16 to 18,-90.0
10,25 to 27,107.57125877832243
11,15 to 21,-44.236101539070006
11,16 to 20,-45.0
11,18 to 20,-43.36342295838329
11,3 to 7,129.14398641457106
11,14 to 16,-26.56505117707799
11,23 to 25,180.0
11,28 to 30,174.8055710922652
11,11 to 23,-105.35013649242443
11,27 to 31,-8.325650330426836
11,16 to 18,-71.56505117707799
11,25 to 27,113.68208772453846
12,15 to 21,-46.59114027119459
12,16 to 20,-49.028263666485145
12,18 to 20,-46.68468431789629
12,3 to 7,128.99099404250546
12,14 to 16,-23.19859051364819
12,23 to 25,180.0
12,28 to 30,175.7321066997092
