Frame,Joint,X,Y
26,0,59,102
26,1,58,96
26,2,58,95
26,3,58,95
26,4,58,95
26,5,57,95
26,6,57,94
26,7,53,94
26,8,52,93
26,9,56,106
26,10,56,106
26,11,46,121
26,12,44,118
26,13,44,167
26,14,47,163
26,15,49,199
26,16,48,204
26,17,48,211
26,18,48,215
26,19,50,212
26,20,49,215
26,21,49,209
26,22,49,211
26,23,52,197
26,24,51,198
26,25,61,254
26,26,64,258
26,27,63,309
26,28,68,318
26,29,61,319
26,30,65,327
26,31,76,319
26,32,83,325
27,0,60,102
27,1,60,96
27,2,60,95
27,3,60,95
27,4,60,95
27,5,59,95
27,6,59,94
27,7,55,94
27,8,54,93
27,9,58,106
27,10,58,106
27,11,47,121
27,12,44,121
27,13,48,166
27,14,46,168
27,15,50,201
27,16,48,212
27,17,51,212
27,18,48,223
27,19,52,212
27,20,50,223
27,21,52,209
27,22,50,219
27,23,53,203
27,24,51,205
27,25,63,254
27,26,64,259
27,27,68,311
27,28,70,317
27,29,64,319
27,30,67,327
27,31,81,319
27,32,85,323
28,0,63,102
28,1,63,96
28,2,63,96
28,3,62,95
28,4,62,96
28,5,62,95
28,6,61,95
28,7,58,94
28,8,57,93
28,9,60,106
28,10,60,106
28,11,48,121
28,12,44,122
28,13,49,166
28,14,46,171
28,15,52,203
28,16,48,213
28,17,53,214
28,18,49,225
28,19,53,214
28,20,50,224
28,22,50,221
28,23,53,205
28,24,51,206
28,25,65,255
28,26,64,260
28,27,70,314
28,28,74,316
28,29,67,321
28,30,71,327
28,31,86,318
28,32,91,321
29,0,65,104
29,1,66,98
29,2,66,98
29,3,65,97
29,4,65,98
29,5,65,97
29,6,64,96
29,7,61,95
29,8,59,94
29,9,63,108
29,10,62,108
29,11,51,121
29,12,45,122
29,13,51,167
29,14,46,173
29,15,54,205
29,16,49,215
29,18,50,227
29,20,52,226
29,22,52,223
29,23,57,206
29,24,53,208
29,25,67,256
29,26,67,261
29,27,74,313
29,28,80,316
29,29,72,321
29,30,78,327
29,31,88,318
29,32,94,321
30,0,68,104
30,1,68,99
30,2,68,98
30,3,68,98
30,4,67,98
30,5,67,97
30,6,66,97
30,7,64,96
30,8,62,95
30,9,66,108
30,10,65,108
30,11,55,122
30,12,47,122
30,13,54,167
30,14,46,172
30,16,50,215
30,18,50,226
30,20,53,226
30,22,53,222
30,23,59,206
30,24,53,208
30,25,69,256
30,26,69,261
30,27,73,316
30,28,79,316
30,29,71,321
30,30,77,327
30,31,88,319
30,32,94,322
31,0,70,105
31,1,70,99
31,2,70,99
31,3,70,98
31,4,70,98
31,5,69,98
31,6,69,97
31,7,66,97
31,8,64,95
31,9,68,109
31,10,68,108
31,11,59,122
31,12,49,122
31,14,48,171
31,16,52,214
31,18,52,226
31,20,54,225
31,22,54,222
31,23,61,206
31,24,55,207
31,25,71,256
31,26,70,261
31,27,76,315
31,28,80,317
31,29,73,322
31,30,77,328
31,31,90,321
31,32,95,324
32,0,73,104
32,1,73,99
32,2,73,99
32,3,73,98
32,4,72,98
32,5,71,98
32,6,71,97
32,7,69,97
32,8,66,95
32,9,71,109
32,10,70,108
32,11,62,122
32,12,50,121
32,14,49,171
32,16,53,215
32,18,53,227
32,20,55,226
32,22,56,222
32,23,64,206
32,24,57,208
32,25,72,257
32,26,70,261
32,27,77,314
32,28,78,317
32,29,74,323
32,30,76,328
32,31,90,322
32,32,93,326
33,0,74,104
33,1,75,99
33,2,75,98
33,3,74,98
33,4,74,98
33,5,74,98
33,6,73,97
33,7,71,97
33,8,69,95
33,9,72,109
33,10,72,108
33,11,61,122
33,12,54,120
33,14,51,170
33,16,56,216
33,18,56,227
33,20,58,226
33,22,59,222
33,23,65,206
33,24,61,207
33,25,73,257
33,26,71,261
33,27,76,315
33,28,77,317
33,29,72,324
33,30,75,329
33,31,89,324
33,32,92,327
34,0,76,103
34,1,77,98
34,2,77,98
34,3,76,97
34,4,76,97
34,5,76,97
34,6,75,96
34,7,73,96
34,8,71,94
34,9,74,107
34,10,73,106
34,11,65,122
34,12,56,118
34,14,55,169
34,16,60,213
34,18,58,226
34,20,62,225
34,22,61,221
34,23,68,206
34,24,63,207
34,25,73,257
34,26,72,261
34,27,74,316
34,28,77,317
34,29,72,324
34,30,74,329
34,31,88,324
34,32,91,327
35,0,79,102
35,1,79,97
35,2,79,97
35,3,78,96
35,4,78,96
35,5,77,96
