Frame,Joint,X,Y
12,0,49,93
12,1,48,87
12,2,48,86
12,3,47,86
12,4,47,86
12,5,47,86
12,6,46,86
12,7,43,88
12,8,41,87
12,9,47,98
12,10,47,98
12,11,39,120
12,12,34,117
12,14,36,164
12,16,40,207
12,18,41,216
12,20,43,214
12,22,43,211
12,23,44,205
12,24,41,206
12,25,54,258
12,26,54,261
12,27,55,310
12,28,56,315
12,29,53,319
12,30,53,323
12,31,68,322
12,32,70,325
13,0,50,93
13,1,49,87
13,2,49,87
13,3,48,87
13,4,48,87
13,5,48,87
13,6,47,86
13,7,43,88
13,8,42,88
13,9,49,98
13,10,48,98
13,11,39,121
13,12,34,119
13,14,36,166
13,16,42,207
13,18,43,217
13,20,45,215
13,22,45,211
13,23,45,206
13,24,42,208
13,25,54,258
13,26,56,262
13,27,57,310
13,28,61,316
13,29,55,319
13,30,58,324
13,31,71,321
13,32,76,324
14,0,53,93
14,1,51,88
14,2,51,87
14,3,51,87
14,4,51,87
14,5,50,87
14,6,49,87
14,7,46,88
14,8,45,88
14,9,51,99
14,10,51,98
14,11,41,121
14,12,35,119
14,14,37,167
14,16,45,206
14,18,46,216
14,20,48,214
14,22,48,211
14,23,46,206
14,24,43,208
14,25,54,256
14,26,57,259
14,27,56,310
14,28,66,315
14,29,55,320
14,30,65,324
14,31,71,316
14,32,81,322
15,0,55,95
15,1,54,90
15,2,54,90
15,3,54,89
15,4,54,90
15,5,53,89
15,6,52,89
15,7,49,89
15,8,47,89
15,9,53,100
15,10,52,100
15,11,44,121
15,12,35,119
15,14,38,167
15,16,46,205
15,18,48,216
15,20,50,214
15,22,49,211
15,23,48,204
15,24,43,206
15,25,56,254
15,26,57,258
15,27,62,311
15,28,68,313
15,29,58,320
15,30,66,324
15,31,75,317
15,32,82,321
16,0,57,96
16,1,57,91
16,2,56,91
16,3,56,90
16,4,56,91
16,5,56,90
16,6,55,90
16,7,52,90
16,8,50,89
16,9,55,101
16,10,54,101
16,11,46,122
16,12,36,120
16,14,39,168
16,16,49,206
16,18,50,217
16,20,52,215
16,22,52,212
16,23,50,206
16,24,44,208
16,25,58,255
16,26,59,258
16,27,61,312
16,28,71,314
16,29,59,320
16,30,69,325
16,31,76,317
16,32,85,321
17,0,59,97
17,1,59,92
17,2,59,91
17,3,58,91
17,4,58,91
17,5,58,91
17,6,57,90
17,7,54,91
17,8,52,90
17,9,57,102
17,10,57,102
17,11,49,123
17,12,37,120
17,14,41,168
17,16,50,206
17,18,51,217
17,20,53,215
17,22,53,212
17,23,53,206
17,24,46,208
17,25,63,255
17,26,59,258
17,27,70,313
17,28,68,314
17,29,67,322
17,30,66,325
17,31,84,320
17,32,85,322
18,0,62,97
18,1,62,91
18,2,61,91
18,3,61,91
18,4,61,91
18,5,60,91
18,6,60,90
18,7,56,91
18,8,55,90
18,9,60,102
18,10,59,102
18,11,53,123
18,12,39,119
18,14,43,167
18,16,52,206
18,18,53,217
18,20,55,215
18,22,55,212
18,23,56,206
18,24,48,207
18,25,65,255
18,26,60,258
18,27,70,313
18,28,69,314
18,29,67,323
18,30,65,325
18,31,85,322
18,32,84,324
19,0,64,97
19,1,64,91
19,2,64,91
19,3,63,91
19,4,63,91
19,5,63,91
19,6,62,90
19,7,59,91
19,8,57,90
19,9,63,102
19,10,62,101
19,11,55,122
19,12,43,118
19,14,46,166
19,16,54,205
19,18,55,217
19,20,57,215
19,22,57,212
19,23,59,205
19,24,53,206
19,25,65,255
19,26,62,258
19,27,69,313
19,28,68,314
19,29,67,323
19,30,64,325
19,31,83,324
19,32,83,325
20,0,67,97
20,1,66,91
20,2,66,91
20,3,66,91
20,4,66,91
20,5,65,90
20,6,65,90
20,7,61,91
20,8,60,90
20,9,65,102
20,10,64,101
20,11,54,120
20,12,48,117
20,14,49,166
20,16,57,205
20,18,59,217
20,20,60,215
20,22,59,212
20,23,58,205
20,24,57,206
20,25,64,255
20,26,65,257
20,27,69,315
20,28,71,316
20,29,63,323
20,30,67,328
20,31,83,324
20,32,86,325
21,0,69,96
21,1,68,90
21,2,68,90
21,3,68,90
21,4,68,90
21,5,67,90
21,6,66,89
21,7,64,90
21,8,62,89
21,9,67,101
21,10,66,101
21,11,55,119
21,12,50,116
21,14,49,165
21,16,58,204
21,18,60,216
21,20,61,215
21,22,61,211
21,23,60,205
21,24,59,206
21,25,64,256
21,26,65,261
21,27,63,315
21,28,70,316
21,29,55,322
21,30,66,328
21,31,74,324
21,32,84,326
22,0,71,95
22,1,70,89
22,2,70,89
22,3,70,89
22,4,70,89
22,5,69,88
22,6,68,88
22,7,65,89
22,8,64,89
22,9,69,100
22,10,69,100
22,11,55,118
22,12,53,115
22,14,53,163
22,16,61,203
22,18,62,214
22,20,63,213
22,22,63,210
22,23,62,204
22,24,61,205
22,25,64,257
22,26,65,262
22,27,65,316
22,28,64,317
22,29,55,323
22,30,59,329
22,31,77,324
22,32,79,326
23,0,73,94
23,1,72,88
23,2,72,88
23,3,72,88
23,4,72,88
23,5,71,88
23,6,70,87
23,7,67,89
23,8,66,88
23,9,71,99
23,10,71,99
23,11,55,118
23,12,57,115
23,14,57,163
23,16,63,202
23,18,64,213
23,20,65,212
23,22,65,209
23,23,61,204
23,24,64,204
23,25,64,257
23,26,70,262
23,27,53,310
23,28,72,317
23,29,48,319
23,30,68,330
23,31,64,322
23,32,85,329
24,0,75,94
24,1,74,87
24,2,74,87
24,3,74,87
24,4,74,87
24,5,73,87
24,6,73,87
24,7,69,88
24,8,68,88
24,9,74,99
24,10,73,99
24,11,58,118
24,12,59,115
24,14,56,162
24,16,64,202
24,18,64,213
24,20,66,212
24,22,65,209
24,23,64,204
24,24,65,204
24,25,66,258
24,26,72,262
24,27,55,310
24,28,72,317
24,29,48,317
24,30,68,330
24,31,63,322
24,32,87,329
25,0,77,94
25,1,76,87
25,2,76,87
25,3,76,87
25,4,76,87
25,5,75,87
25,6,74,87
25,7,71,88
25,8,70,88
25,9,76,99
25,10,75,99
25,11,62,118
25,12,60,115
25,14,61,161
25,16,67,201
25,18,67,213
25,20,70,212
25,22,69,209
25,23,69,204
25,24,67,204
25,25,71,259
25,26,73,261
25,27,67,317
25,28,65,318
25,29,60,321
25,30,60,329
25,31,79,326
25,32,75,335
26,0,79,93
26,1,78,87
26,2,78,87
26,3,78,87
26,4,78,87
26,5,77,87
26,6,76,86
26,7,73,88
26,8,72,88
26,9,78,99
26,10,77,99
26,11,63,118
26,12,63,115
26,14,64,160
26,16,66,200
26,18,68,211
26,20,69,211
26,22,69,207
26,23,69,203
26,24,68,203
26,25,73,259
26,26,74,259
26,27,71,320
26,28,63,318
26,29,65,323
26,30,57,328
26,31,83,328
26,32,72,337
27,0,82,93
27,1,81,87
27,2,81,87
27,3,80,87
27,4,80,87
27,5,80,86
27,6,79,86
27,7,76,88
27,8,74,87
27,9,80,98
27,10,79,98
27,11,68,118
27,12,65,115
27,14,65,160
27,16,68,201
27,18,68,211
27,20,70,211
27,22,71,209
27,23,72,203
27,24,69,203
27,25,76,259
27,26,77,259
27,27,69,319
27,28,60,316
27,29,64,325
27,30,54,324
27,31,81,331
27,32,68,337
28,0,84,92
28,1,83,86
28,2,83,86
28,3,83,86
28,4,82,86
28,5,81,85
28,6,81,85
28,7,79,87
28,8,76,86
28,9,82,97
28,10,82,97
28,11,77,118
28,12,66,115
28,14,63,159
28,16,68,200
28,18,68,212
28,20,69,211
28,22,70,208
28,23,78,203
28,24,71,203
28,25,80,261
28,26,77,260
