Frame,Joint,X,Y
58,0,47,94
58,1,46,89
58,2,46,89
58,3,46,88
58,4,45,89
58,5,45,88
58,6,44,88
58,7,41,88
58,8,40,87
58,9,44,98
58,10,43,98
58,11,37,110
58,12,32,108
58,14,33,155
58,16,40,196
58,18,40,206
58,20,42,205
58,22,41,202
58,23,40,190
58,24,37,191
58,25,49,245
58,26,48,250
58,27,54,302
58,28,52,306
58,29,49,312
58,30,48,317
58,31,65,311
58,32,64,314
59,0,47,95
59,1,47,90
59,2,47,89
59,3,46,89
59,4,46,89
59,5,46,89
59,6,45,89
59,7,42,88
59,8,41,88
59,9,45,100
59,10,44,99
59,11,37,115
59,12,32,113
59,14,33,160
59,16,42,199
59,18,44,210
59,20,45,209
59,22,45,205
59,23,41,194
59,24,39,196
59,25,49,246
59,26,52,251
59,27,54,302
59,28,58,307
59,29,51,312
59,30,56,317
59,31,65,311
59,32,72,314
60,0,49,98
60,1,49,92
60,2,49,91
60,3,49,91
60,4,49,91
60,5,49,91
60,6,48,90
60,7,45,90
60,8,44,88
60,9,47,102
60,10,46,102
60,11,38,118
60,12,33,115
60,14,34,164
60,16,44,202
60,18,46,213
60,20,47,212
60,22,46,208
60,23,42,197
60,24,40,200
60,25,51,246
60,26,55,252
60,27,54,301
60,28,61,309
60,29,51,310
60,30,58,318
60,31,66,310
60,32,74,315
61,0,52,98
61,1,52,92
61,2,52,92
61,3,52,92
61,4,52,92
61,5,51,91
61,6,51,91
61,7,48,90
61,8,46,88
61,9,49,102
61,10,49,102
61,11,41,117
61,12,33,117
61,14,35,166
61,16,46,203
61,18,47,214
61,20,49,213
61,22,48,209
61,23,45,199
61,24,41,202
61,25,54,247
61,26,54,253
61,27,58,305
61,28,59,309
61,29,54,312
61,30,56,319
61,31,70,313
61,32,73,317
62,0,55,98
62,1,56,93
62,2,55,93
62,3,55,92
62,4,55,92
62,5,55,92
62,6,54,91
62,7,51,90
62,8,49,89
62,9,52,103
62,10,51,102
62,11,43,117
62,12,34,117
62,14,38,165
62,16,46,204
62,18,48,215
62,20,50,214
62,22,49,210
62,23,47,200
62,24,43,202
62,25,56,249
62,26,56,255
